Month,Week #,Year,Price
January,1,2018,15.93
January,2,2018,16.11
January,3,2018,16.22
January,4,2018,16.31
February,1,2018,16.84
February,2,2018,17.28
February,3,2018,17.36
February,4,2018,17.22
March,1,2018,17.25
March,2,2018,17.21
March,3,2018,17.41
March,4,2018,17.49
March,5,2018,17.51
April,1,2018,17.48
April,2,2018,17.42
April,3,2018,17.43
April,4,2018,17.42
May,1,2018,17.34
May,2,2018,17.17
May,3,2018,17.03
May,4,2018,16.69
June,1,2018,16.57
June,2,2018,16.17
June,3,2018,16.16
June,4,2018,15.99
June,5,2018,15.93
July,1,2018,15.98
July,2,2018,15.72
July,3,2018,15.53
July,4,2018,15.33
August,1,2018,15.03
August,2,2018,14.83
August,3,2018,14.85
August,4,2018,14.91
September,1,2018,14.62
September,2,2018,14.56
September,3,2018,14.48
September,4,2018,14.44
September,5,2018,14.5
October,1,2018,14.53
October,2,2018,14.68
October,3,2018,14.61
October,4,2018,14.48
November,1,2018,14.48
November,2,2018,14.34
November,3,2018,14.35
November,4,2018,14.39
December,1,2018,14.55
December,2,2018,14.34
December,3,2018,14.28
December,4,2018,14.3
January,1,2019,14.08
January,2,2019,14.08
January,3,2019,13.98
January,4,2019,13.98
February,1,2019,14.42
February,2,2019,14.32
February,3,2019,14.71
February,4,2019,14.75
March,1,2019,14.8
March,2,2019,14.96
March,3,2019,15.13
March,4,2019,15.29
March,5,2019,15.29
April  ,1,2019,15.96
April  ,2,2019,15.89
April  ,3,2019,16.13
April  ,4,2019,16.1
May,1,2019,16.16
May,2,2019,16.19
May,3,2019,16.34
May,4,2019,16.11
June,1,2019,16.27
June,2,2019,16.15
June,3,2019,16.14
June,4,2019,16.25
June,5,2019,16.13
July,1,2019,16.12
July,2,2019,16.09
July,3,2019,16.02
July,4,2019,15.76
August,1,2019,15.68
August,2,2019,15.4
August,3,2019,15.14
August,4,2019,15.04
August,5,2019,15.53
September,1,2019,14.38
September,2,2019,14.18
September,3,2019,14.06
September,4,2019,13.74
October,1,2019,13.51
October,2,2019,13.47
October,3,2019,13.39
October,4,2019,13.49
November,1,2019,13.32
November,2,2019,13.35
November,3,2019,13.34
November,4,2019,13.31
November,5,2019,13.35
December,1,2019,13.24
December,2,2019,13.22
December,3,2019,13.28
December,4,2019,13.26
January,1,2020,13.34
January,2,2020,13.22
January,3,2020,13.36
January,4,2020,13.35
February,1,2020,13.48
February,2,2020,13.36
February,3,2020,13.36
February,4,2020,13.31
February,5,2020,13.21
March,1,2020,13.31
March,2,2020,13.28
March,3,2020,13.57
March,4,2020,13.77
April,1,2020,15
April,2,2020,14.95
April,3,2020,15.1
April,4,2020,15.16
May,1,2020,15.21
May,2,2020,15.11
May,3,2020,15.04
May,4,2020,14.92
May,5,2020,14.22
June,1,2020,14.08
June,2,2020,13.96
June,3,2020,14.02
June,4,2020,14
July,1,2020,14.11
July,2,2020,14.05
July,3,2020,14.13
July,4,2020,14.3
August,1,2020,14.29
August,2,2020,14.27
August,3,2020,14.44
August,4,2020,14.31
August,5,2020,14.33
September,1,2020,13.52
September,2,2020,13.18
September,3,2020,13.24
September,4,2020,13.25
October,1,2020,13.21
October,2,2020,12.88
October,3,2020,13.02
October,4,2020,12.9
November,1,2020,12.82
November,2,2020,12.9
November,3,2020,13.03
November,4,2020,13.08
December,1,2020,13.14
December,2,2020,13.27
December,3,2020,13.18
December,4,2020,13.31
December,5,2020,13.35
